"Hour","AgeRange","ageCount","hourcount","percentage"
0,"0-18",26,823,0.031591737545565
0,"18-29",396,823,0.481166464155529
0,"30-39",204,823,0.247873633049818
0,"40+",197,823,0.239368165249089
1,"0-18",10,618,0.0161812297734628
1,"18-29",311,618,0.503236245954693
1,"30-39",148,618,0.239482200647249
1,"40+",149,618,0.241100323624595
2,"0-18",10,489,0.0204498977505112
2,"18-29",235,489,0.480572597137014
2,"30-39",104,489,0.212678936605317
2,"40+",140,489,0.286298568507157
3,"0-18",2,289,0.0069204152249135
3,"18-29",117,289,0.404844290657439
3,"30-39",76,289,0.262975778546713
3,"40+",94,289,0.325259515570934
4,"0-18",4,135,0.0296296296296296
4,"18-29",45,135,0.333333333333333
4,"30-39",37,135,0.274074074074074
4,"40+",49,135,0.362962962962963
5,"18-29",15,61,0.245901639344262
5,"30-39",18,61,0.295081967213115
5,"40+",28,61,0.459016393442623
6,"0-18",1,157,0.00636942675159236
6,"18-29",28,157,0.178343949044586
6,"30-39",46,157,0.292993630573248
6,"40+",82,157,0.522292993630573
7,"0-18",1,341,0.00293255131964809
7,"18-29",82,341,0.240469208211144
7,"30-39",97,341,0.284457478005865
7,"40+",161,341,0.472140762463343
8,"0-18",3,489,0.00613496932515337
8,"18-29",95,489,0.194274028629857
8,"30-39",150,489,0.306748466257669
8,"40+",241,489,0.492842535787321
9,"0-18",5,582,0.00859106529209622
9,"18-29",148,582,0.254295532646048
9,"30-39",144,582,0.247422680412371
9,"40+",285,582,0.489690721649485
10,"0-18",8,682,0.0117302052785924
10,"18-29",163,682,0.23900293255132
10,"30-39",177,682,0.259530791788856
10,"40+",334,682,0.489736070381232
11,"0-18",15,678,0.0221238938053097
11,"18-29",184,678,0.271386430678466
11,"30-39",159,678,0.234513274336283
11,"40+",320,678,0.471976401179941
12,"0-18",35,802,0.043640897755611
12,"18-29",216,802,0.269326683291771
12,"30-39",215,802,0.268079800498753
12,"40+",336,802,0.418952618453865
13,"0-18",38,695,0.0546762589928058
13,"18-29",202,695,0.290647482014389
13,"30-39",185,695,0.266187050359712
13,"40+",270,695,0.388489208633094
14,"0-18",20,515,0.0388349514563107
14,"18-29",122,515,0.236893203883495
14,"30-39",142,515,0.275728155339806
14,"40+",231,515,0.448543689320388
15,"0-18",15,542,0.0276752767527675
15,"18-29",147,542,0.271217712177122
15,"30-39",130,542,0.239852398523985
15,"40+",250,542,0.461254612546125
16,"0-18",34,612,0.0555555555555556
16,"18-29",184,612,0.300653594771242
16,"30-39",157,612,0.256535947712418
16,"40+",237,612,0.387254901960784
17,"0-18",16,578,0.027681660899654
17,"18-29",195,578,0.337370242214533
17,"30-39",164,578,0.283737024221453
17,"40+",203,578,0.35121107266436
18,"0-18",11,544,0.0202205882352941
18,"18-29",193,544,0.354779411764706
18,"30-39",142,544,0.261029411764706
18,"40+",198,544,0.363970588235294
19,"0-18",22,685,0.0321167883211679
19,"18-29",239,685,0.348905109489051
19,"30-39",163,685,0.237956204379562
19,"40+",261,685,0.381021897810219
20,"0-18",24,834,0.0287769784172662
20,"18-29",308,834,0.369304556354916
20,"30-39",229,834,0.274580335731415
20,"40+",273,834,0.327338129496403
21,"0-18",28,971,0.0288362512873326
21,"18-29",435,971,0.447991761071061
21,"30-39",231,971,0.237899073120494
21,"40+",277,971,0.285272914521112
22,"0-18",28,1098,0.0255009107468124
22,"18-29",501,1098,0.456284153005464
22,"30-39",294,1098,0.26775956284153
22,"40+",275,1098,0.250455373406193
23,"0-18",32,1071,0.0298786181139122
23,"18-29",534,1071,0.49859943977591
23,"30-39",241,1071,0.225023342670401
23,"40+",264,1071,0.246498599439776
